name,category,mana_color_style,mana_color_code,mana_cost,energy_cost,art_path,frame_path,mana_icon_path,image_prompt,output_path,card_set,frame_type,video_prompt,video_path
Gale Seeker,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/gale-seeker.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Gale Seeker, creature type, azure mana theme",output/gale-seeker.png,Open Portal Enhanced,common_creature_frame,"Animated version of Gale Seeker, subtle magical effects, 3-second loop",videos/creature/gale-seeker.mp4
Gale Leviathan,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/gale-leviathan.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Gale Leviathan, creature type, azure mana theme",output/gale-leviathan.png,Open Portal Enhanced,common_creature_frame,"Animated version of Gale Leviathan, subtle magical effects, 3-second loop",videos/creature/gale-leviathan.mp4
Sky Strider,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/sky-strider.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Sky Strider, creature type, azure mana theme",output/sky-strider.png,Open Portal Enhanced,common_creature_frame,"Animated version of Sky Strider, subtle magical effects, 3-second loop",videos/creature/sky-strider.mp4
Sky Seraph,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/sky-seraph.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Sky Seraph, creature type, azure mana theme",output/sky-seraph.png,Open Portal Enhanced,common_creature_frame,"Animated version of Sky Seraph, subtle magical effects, 3-second loop",videos/creature/sky-seraph.mp4
Crystal Warden,HERO,Azure Magic,AZURE,0,0,art/AZURE/HERO/hero-azure-157.png,frames/common_hero_frame.png,icons/mana_azure.png,"Epic fantasy card art for Crystal Warden, hero type, azure mana theme",output/hero-azure-157.png,Open Portal Enhanced,rare_hero_frame,"Animated version of Crystal Warden, subtle magical effects, 3-second loop",videos/hero/hero-azure-157.mp4
Echo Leviathan,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/echo-leviathan.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Echo Leviathan, creature type, azure mana theme",output/echo-leviathan.png,Open Portal Enhanced,common_creature_frame,"Animated version of Echo Leviathan, subtle magical effects, 3-second loop",videos/creature/echo-leviathan.mp4
Star Seraph,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/star-seraph.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Star Seraph, creature type, azure mana theme",output/star-seraph.png,Open Portal Enhanced,common_creature_frame,"Animated version of Star Seraph, subtle magical effects, 3-second loop",videos/creature/star-seraph.mp4
Tide Seraph,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/tide-seraph.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Tide Seraph, creature type, azure mana theme",output/tide-seraph.png,Open Portal Enhanced,common_creature_frame,"Animated version of Tide Seraph, subtle magical effects, 3-second loop",videos/creature/tide-seraph.mp4
Frost Sage,HERO,Azure Magic,AZURE,0,0,art/AZURE/HERO/hero-azure-049.png,frames/common_hero_frame.png,icons/mana_azure.png,"Epic fantasy card art for Frost Sage, hero type, azure mana theme",output/hero-azure-049.png,Open Portal Enhanced,epic_hero_frame,"Animated version of Frost Sage, subtle magical effects, 3-second loop",videos/hero/hero-azure-049.mp4
Echo Sage,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/echo-sage.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Echo Sage, creature type, azure mana theme",output/echo-sage.png,Open Portal Enhanced,common_creature_frame,"Animated version of Echo Sage, subtle magical effects, 3-second loop",videos/creature/echo-sage.mp4
Mist Sage,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/mist-sage.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Mist Sage, creature type, azure mana theme",output/mist-sage.png,Open Portal Enhanced,common_creature_frame,"Animated version of Mist Sage, subtle magical effects, 3-second loop",videos/creature/mist-sage.mp4
Aether Warden,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/aether-warden.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Aether Warden, creature type, azure mana theme",output/aether-warden.png,Open Portal Enhanced,common_creature_frame,"Animated version of Aether Warden, subtle magical effects, 3-second loop",videos/creature/aether-warden.mp4
Wave Strider,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/wave-strider.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Wave Strider, creature type, azure mana theme",output/wave-strider.png,Open Portal Enhanced,common_creature_frame,"Animated version of Wave Strider, subtle magical effects, 3-second loop",videos/creature/wave-strider.mp4
Mist Voyager,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/mist-voyager.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Mist Voyager, creature type, azure mana theme",output/mist-voyager.png,Open Portal Enhanced,common_creature_frame,"Animated version of Mist Voyager, subtle magical effects, 3-second loop",videos/creature/mist-voyager.mp4
Star Warden,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/star-warden.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Star Warden, creature type, azure mana theme",output/star-warden.png,Open Portal Enhanced,common_creature_frame,"Animated version of Star Warden, subtle magical effects, 3-second loop",videos/creature/star-warden.mp4
Frost Sentinel,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/frost-sentinel.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Frost Sentinel, creature type, azure mana theme",output/frost-sentinel.png,Open Portal Enhanced,common_creature_frame,"Animated version of Frost Sentinel, subtle magical effects, 3-second loop",videos/creature/frost-sentinel.mp4
Wave Seeker,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/wave-seeker.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Wave Seeker, creature type, azure mana theme",output/wave-seeker.png,Open Portal Enhanced,common_creature_frame,"Animated version of Wave Seeker, subtle magical effects, 3-second loop",videos/creature/wave-seeker.mp4
Wave Warden,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/wave-warden.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Wave Warden, creature type, azure mana theme",output/wave-warden.png,Open Portal Enhanced,common_creature_frame,"Animated version of Wave Warden, subtle magical effects, 3-second loop",videos/creature/wave-warden.mp4
Crystal Leviathan,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/crystal-leviathan.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Crystal Leviathan, creature type, azure mana theme",output/crystal-leviathan.png,Open Portal Enhanced,common_creature_frame,"Animated version of Crystal Leviathan, subtle magical effects, 3-second loop",videos/creature/crystal-leviathan.mp4
Frost Seraph,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/frost-seraph.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Frost Seraph, creature type, azure mana theme",output/frost-seraph.png,Open Portal Enhanced,common_creature_frame,"Animated version of Frost Seraph, subtle magical effects, 3-second loop",videos/creature/frost-seraph.mp4
Gale Strider,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/gale-strider.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Gale Strider, creature type, azure mana theme",output/gale-strider.png,Open Portal Enhanced,common_creature_frame,"Animated version of Gale Strider, subtle magical effects, 3-second loop",videos/creature/gale-strider.mp4
Echo Warden,CREATURE,Aether Magic,AETHER,6,2,art/AETHER/CREATURE/echo-warden.png,frames/rare_creature_frame.png,icons/mana_aether.png,"Epic fantasy card art for Echo Warden, creature type, aether mana theme",output/echo-warden.png,Open Portal Enhanced,common_creature_frame,"Animated version of Echo Warden, subtle magical effects, 3-second loop",videos/creature/echo-warden.mp4
Echo Strider,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/echo-strider.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Echo Strider, creature type, azure mana theme",output/echo-strider.png,Open Portal Enhanced,common_creature_frame,"Animated version of Echo Strider, subtle magical effects, 3-second loop",videos/creature/echo-strider.mp4
Aether Sage,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/aether-sage.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Aether Sage, creature type, azure mana theme",output/aether-sage.png,Open Portal Enhanced,common_creature_frame,"Animated version of Aether Sage, subtle magical effects, 3-second loop",videos/creature/aether-sage.mp4
Sky Voyager,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/sky-voyager.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Sky Voyager, creature type, azure mana theme",output/sky-voyager.png,Open Portal Enhanced,common_creature_frame,"Animated version of Sky Voyager, subtle magical effects, 3-second loop",videos/creature/sky-voyager.mp4
Frost Seeker,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/frost-seeker.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Frost Seeker, creature type, azure mana theme",output/frost-seeker.png,Open Portal Enhanced,common_creature_frame,"Animated version of Frost Seeker, subtle magical effects, 3-second loop",videos/creature/frost-seeker.mp4
Sky Ray,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/sky-ray.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Sky Ray, creature type, azure mana theme",output/sky-ray.png,Open Portal Enhanced,common_creature_frame,"Animated version of Sky Ray, subtle magical effects, 3-second loop",videos/creature/sky-ray.mp4
Echo Seeker,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/echo-seeker.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Echo Seeker, creature type, azure mana theme",output/echo-seeker.png,Open Portal Enhanced,common_creature_frame,"Animated version of Echo Seeker, subtle magical effects, 3-second loop",videos/creature/echo-seeker.mp4
Echo Voyager,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/echo-voyager.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Echo Voyager, creature type, azure mana theme",output/echo-voyager.png,Open Portal Enhanced,common_creature_frame,"Animated version of Echo Voyager, subtle magical effects, 3-second loop",videos/creature/echo-voyager.mp4
Tide Sage,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/tide-sage.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Tide Sage, creature type, azure mana theme",output/tide-sage.png,Open Portal Enhanced,common_creature_frame,"Animated version of Tide Sage, subtle magical effects, 3-second loop",videos/creature/tide-sage.mp4
Aether Manta,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/aether-manta.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Aether Manta, creature type, azure mana theme",output/aether-manta.png,Open Portal Enhanced,rare_creature_frame,"Animated version of Aether Manta, subtle magical effects, 3-second loop",videos/creature/aether-manta.mp4
Mist Seraph,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/mist-seraph.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Mist Seraph, creature type, azure mana theme",output/mist-seraph.png,Open Portal Enhanced,common_creature_frame,"Animated version of Mist Seraph, subtle magical effects, 3-second loop",videos/creature/mist-seraph.mp4
Crystal Sentinel,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/crystal-sentinel.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Crystal Sentinel, creature type, azure mana theme",output/crystal-sentinel.png,Open Portal Enhanced,common_creature_frame,"Animated version of Crystal Sentinel, subtle magical effects, 3-second loop",videos/creature/crystal-sentinel.mp4
Wave Manta,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/wave-manta.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Wave Manta, creature type, azure mana theme",output/wave-manta.png,Open Portal Enhanced,common_creature_frame,"Animated version of Wave Manta, subtle magical effects, 3-second loop",videos/creature/wave-manta.mp4
Sky Sage,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/sky-sage.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Sky Sage, creature type, azure mana theme",output/sky-sage.png,Open Portal Enhanced,common_creature_frame,"Animated version of Sky Sage, subtle magical effects, 3-second loop",videos/creature/sky-sage.mp4
Aether Voyager,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/aether-voyager.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Aether Voyager, creature type, azure mana theme",output/aether-voyager.png,Open Portal Enhanced,common_creature_frame,"Animated version of Aether Voyager, subtle magical effects, 3-second loop",videos/creature/aether-voyager.mp4
Tide Sentinel,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/tide-sentinel.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Tide Sentinel, creature type, azure mana theme",output/tide-sentinel.png,Open Portal Enhanced,common_creature_frame,"Animated version of Tide Sentinel, subtle magical effects, 3-second loop",videos/creature/tide-sentinel.mp4
Gale Manta,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/gale-manta.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Gale Manta, creature type, azure mana theme",output/gale-manta.png,Open Portal Enhanced,common_creature_frame,"Animated version of Gale Manta, subtle magical effects, 3-second loop",videos/creature/gale-manta.mp4
Wave Ray,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/wave-ray.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Wave Ray, creature type, azure mana theme",output/wave-ray.png,Open Portal Enhanced,common_creature_frame,"Animated version of Wave Ray, subtle magical effects, 3-second loop",videos/creature/wave-ray.mp4
Aether Seraph,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/aether-seraph.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Aether Seraph, creature type, azure mana theme",output/aether-seraph.png,Open Portal Enhanced,common_creature_frame,"Animated version of Aether Seraph, subtle magical effects, 3-second loop",videos/creature/aether-seraph.mp4
Echo Ray,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/echo-ray.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Echo Ray, creature type, azure mana theme",output/echo-ray.png,Open Portal Enhanced,common_creature_frame,"Animated version of Echo Ray, subtle magical effects, 3-second loop",videos/creature/echo-ray.mp4
Sky Seeker,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/sky-seeker.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Sky Seeker, creature type, azure mana theme",output/sky-seeker.png,Open Portal Enhanced,common_creature_frame,"Animated version of Sky Seeker, subtle magical effects, 3-second loop",videos/creature/sky-seeker.mp4
Gale Sage,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/gale-sage.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Gale Sage, creature type, azure mana theme",output/gale-sage.png,Open Portal Enhanced,rare_creature_frame,"Animated version of Gale Sage, subtle magical effects, 3-second loop",videos/creature/gale-sage.mp4
Gale Seraph,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/gale-seraph.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Gale Seraph, creature type, azure mana theme",output/gale-seraph.png,Open Portal Enhanced,common_creature_frame,"Animated version of Gale Seraph, subtle magical effects, 3-second loop",videos/creature/gale-seraph.mp4
Crystal Sage,HERO,Azure Magic,AZURE,0,0,art/AZURE/HERO/hero-azure-097.png,frames/common_hero_frame.png,icons/mana_azure.png,"Epic fantasy card art for Crystal Sage, hero type, azure mana theme",output/hero-azure-097.png,Open Portal Enhanced,rare_hero_frame,"Animated version of Crystal Sage, subtle magical effects, 3-second loop",videos/hero/hero-azure-097.mp4
Star Manta,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/star-manta.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Star Manta, creature type, azure mana theme",output/star-manta.png,Open Portal Enhanced,rare_creature_frame,"Animated version of Star Manta, subtle magical effects, 3-second loop",videos/creature/star-manta.mp4
Mist Warden,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/mist-warden.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Mist Warden, creature type, azure mana theme",output/mist-warden.png,Open Portal Enhanced,common_creature_frame,"Animated version of Mist Warden, subtle magical effects, 3-second loop",videos/creature/mist-warden.mp4
Gale Voyager,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/gale-voyager.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Gale Voyager, creature type, azure mana theme",output/gale-voyager.png,Open Portal Enhanced,common_creature_frame,"Animated version of Gale Voyager, subtle magical effects, 3-second loop",videos/creature/gale-voyager.mp4
Frost Warden,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/frost-warden.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Frost Warden, creature type, azure mana theme",output/frost-warden.png,Open Portal Enhanced,common_creature_frame,"Animated version of Frost Warden, subtle magical effects, 3-second loop",videos/creature/frost-warden.mp4
Sky Warden,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/sky-warden.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Sky Warden, creature type, azure mana theme",output/sky-warden.png,Open Portal Enhanced,common_creature_frame,"Animated version of Sky Warden, subtle magical effects, 3-second loop",videos/creature/sky-warden.mp4
Tide Seeker,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/tide-seeker.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Tide Seeker, creature type, azure mana theme",output/tide-seeker.png,Open Portal Enhanced,common_creature_frame,"Animated version of Tide Seeker, subtle magical effects, 3-second loop",videos/creature/tide-seeker.mp4
Echo Sentinel,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/echo-sentinel.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Echo Sentinel, creature type, azure mana theme",output/echo-sentinel.png,Open Portal Enhanced,common_creature_frame,"Animated version of Echo Sentinel, subtle magical effects, 3-second loop",videos/creature/echo-sentinel.mp4
Sky Sentinel,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/sky-sentinel.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Sky Sentinel, creature type, azure mana theme",output/sky-sentinel.png,Open Portal Enhanced,common_creature_frame,"Animated version of Sky Sentinel, subtle magical effects, 3-second loop",videos/creature/sky-sentinel.mp4
Tide Strider,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/tide-strider.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Tide Strider, creature type, azure mana theme",output/tide-strider.png,Open Portal Enhanced,common_creature_frame,"Animated version of Tide Strider, subtle magical effects, 3-second loop",videos/creature/tide-strider.mp4
Crystal Strider,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/crystal-strider.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Crystal Strider, creature type, azure mana theme",output/crystal-strider.png,Open Portal Enhanced,rare_creature_frame,"Animated version of Crystal Strider, subtle magical effects, 3-second loop",videos/creature/crystal-strider.mp4
Gale Sentinel,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/gale-sentinel.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Gale Sentinel, creature type, azure mana theme",output/gale-sentinel.png,Open Portal Enhanced,common_creature_frame,"Animated version of Gale Sentinel, subtle magical effects, 3-second loop",videos/creature/gale-sentinel.mp4
Frost Manta,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/frost-manta.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Frost Manta, creature type, azure mana theme",output/frost-manta.png,Open Portal Enhanced,common_creature_frame,"Animated version of Frost Manta, subtle magical effects, 3-second loop",videos/creature/frost-manta.mp4
Mist Leviathan,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/mist-leviathan.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Mist Leviathan, creature type, azure mana theme",output/mist-leviathan.png,Open Portal Enhanced,common_creature_frame,"Animated version of Mist Leviathan, subtle magical effects, 3-second loop",videos/creature/mist-leviathan.mp4
Star Ray,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/star-ray.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Star Ray, creature type, azure mana theme",output/star-ray.png,Open Portal Enhanced,common_creature_frame,"Animated version of Star Ray, subtle magical effects, 3-second loop",videos/creature/star-ray.mp4
Crystal Manta,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/crystal-manta.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Crystal Manta, creature type, azure mana theme",output/crystal-manta.png,Open Portal Enhanced,common_creature_frame,"Animated version of Crystal Manta, subtle magical effects, 3-second loop",videos/creature/crystal-manta.mp4
Aether Ray,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/aether-ray.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Aether Ray, creature type, azure mana theme",output/aether-ray.png,Open Portal Enhanced,common_creature_frame,"Animated version of Aether Ray, subtle magical effects, 3-second loop",videos/creature/aether-ray.mp4
Sky Leviathan,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/sky-leviathan.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Sky Leviathan, creature type, azure mana theme",output/sky-leviathan.png,Open Portal Enhanced,common_creature_frame,"Animated version of Sky Leviathan, subtle magical effects, 3-second loop",videos/creature/sky-leviathan.mp4
