slug,name,category,rarity,legendary,mana_color_code,mana_cost,energy_cost,attack,defense,health,base_energy_per_turn,equipment_slots,keywords,limits_json,targeting_json,effects_json,abilities_json,rules_text,flavor_text,frame_type,video_prompt,action_speed
inferno-hydra,Inferno Hydra,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Inferno Hydra, subtle magical effects, 3-second loop",
cinder-warden,Cinder Warden,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Cinder Warden, subtle magical effects, 3-second loop",
hell-warden,Hell Warden,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Hell Warden, subtle magical effects, 3-second loop",
char-ravager,Char Ravager,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Char Ravager, subtle magical effects, 3-second loop",
ash-hound,Ash Hound,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Ash Hound, subtle magical effects, 3-second loop",
sear-ravager,Sear Ravager,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Sear Ravager, subtle magical effects, 3-second loop",
ember-goliath,Ember Goliath,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Ember Goliath, subtle magical effects, 3-second loop",
ember-drake,Ember Drake,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Ember Drake, subtle magical effects, 3-second loop",
flame-ravager,Flame Ravager,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Flame Ravager, subtle magical effects, 3-second loop",
char-goliath,Char Goliath,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Char Goliath, subtle magical effects, 3-second loop",
cinder-hydra,Cinder Hydra,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Cinder Hydra, subtle magical effects, 3-second loop",
blaze-drake,Blaze Drake,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Blaze Drake, subtle magical effects, 3-second loop",
ash-juggernaut,Ash Juggernaut,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Ash Juggernaut, subtle magical effects, 3-second loop",
pyre-juggernaut,Pyre Juggernaut,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Pyre Juggernaut, subtle magical effects, 3-second loop",
flame-drake,Flame Drake,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Flame Drake, subtle magical effects, 3-second loop",
pyre-ravager,Pyre Ravager,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Pyre Ravager, subtle magical effects, 3-second loop",
spore-beast,Spore Beast,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Spore Beast, subtle magical effects, 3-second loop",
verdant-shepherd,Verdant Shepherd,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Verdant Shepherd, subtle magical effects, 3-second loop",
spore-hydra,Spore Hydra,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Spore Hydra, subtle magical effects, 3-second loop",
bark-colossus,Bark Colossus,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Bark Colossus, subtle magical effects, 3-second loop",
bloom-shepherd,Bloom Shepherd,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Bloom Shepherd, subtle magical effects, 3-second loop",
thorn-guardian,Thorn Guardian,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Thorn Guardian, subtle magical effects, 3-second loop",
root-guardian,Root Guardian,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Root Guardian, subtle magical effects, 3-second loop",
verdant-guardian,Verdant Guardian,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Verdant Guardian, subtle magical effects, 3-second loop",
vine-titan,Vine Titan,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Vine Titan, subtle magical effects, 3-second loop",
moss-ancient,Moss Ancient,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Moss Ancient, subtle magical effects, 3-second loop",
wild-ancient,Wild Ancient,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Wild Ancient, subtle magical effects, 3-second loop",
grove-titan,Grove Titan,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Grove Titan, subtle magical effects, 3-second loop",
root-maw,Root Maw,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Root Maw, subtle magical effects, 3-second loop",
vine-hydra,Vine Hydra,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Vine Hydra, subtle magical effects, 3-second loop",
bloom-guardian,Bloom Guardian,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Bloom Guardian, subtle magical effects, 3-second loop",
bloom-roamer,Bloom Roamer,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Bloom Roamer, subtle magical effects, 3-second loop",
grove-shepherd,Grove Shepherd,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Grove Shepherd, subtle magical effects, 3-second loop",
spore-roamer,Spore Roamer,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Spore Roamer, subtle magical effects, 3-second loop",
moss-maw,Moss Maw,CREATURE,COMMON,FALSE,VERDANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Moss Maw, subtle magical effects, 3-second loop",
night-horror,Night Horror,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Night Horror, subtle magical effects, 3-second loop",
shadow-revenant,Shadow Revenant,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Shadow Revenant, subtle magical effects, 3-second loop",
shade-warden,Shade Warden,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Shade Warden, subtle magical effects, 3-second loop",
wraith-warden,Wraith Warden,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Wraith Warden, subtle magical effects, 3-second loop",
grave-revenant,Grave Revenant,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Grave Revenant, subtle magical effects, 3-second loop",
wraith-judge,Wraith Judge,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Wraith Judge, subtle magical effects, 3-second loop",
night-specter,Night Specter,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Night Specter, subtle magical effects, 3-second loop",
wraith-specter,Wraith Specter,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Wraith Specter, subtle magical effects, 3-second loop",
night-judge,Night Judge,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Night Judge, subtle magical effects, 3-second loop",
grave-specter,Grave Specter,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Grave Specter, subtle magical effects, 3-second loop",
shadow-warden,Shadow Warden,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Shadow Warden, subtle magical effects, 3-second loop",
dusk-monarch,Dusk Monarch,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Dusk Monarch, subtle magical effects, 3-second loop",
shade-revenant,Shade Revenant,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Shade Revenant, subtle magical effects, 3-second loop",
shadow-harbinger,Shadow Harbinger,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Shadow Harbinger, subtle magical effects, 3-second loop",
coffin-monarch,Coffin Monarch,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Coffin Monarch, subtle magical effects, 3-second loop",
grave-leech,Grave Leech,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Grave Leech, subtle magical effects, 3-second loop",
grave-judge,Grave Judge,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Grave Judge, subtle magical effects, 3-second loop",
gloom-gargoyle,Gloom Gargoyle,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Gloom Gargoyle, subtle magical effects, 3-second loop",
dusk-judge,Dusk Judge,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Dusk Judge, subtle magical effects, 3-second loop",
wraith-harbinger,Wraith Harbinger,CREATURE,COMMON,FALSE,OBSIDIAN,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Wraith Harbinger, subtle magical effects, 3-second loop",
virtue-seraph,Virtue Seraph,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Virtue Seraph, subtle magical effects, 3-second loop",
aegis-guardian,Aegis Guardian,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Aegis Guardian, subtle magical effects, 3-second loop",
vow-angel,Vow Angel,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Vow Angel, subtle magical effects, 3-second loop",
light-paladin,Light Paladin,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Light Paladin, subtle magical effects, 3-second loop",
halo-paladin,Halo Paladin,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Halo Paladin, subtle magical effects, 3-second loop",
light-angel,Light Angel,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Light Angel, subtle magical effects, 3-second loop",
halo-keeper,Halo Keeper,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Halo Keeper, subtle magical effects, 3-second loop",
virtue-herald,Virtue Herald,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Virtue Herald, subtle magical effects, 3-second loop",
saint-paladin,Saint Paladin,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Saint Paladin, subtle magical effects, 3-second loop",
crown-gryphon,Crown Gryphon,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Crown Gryphon, subtle magical effects, 3-second loop",
halo-custodian,Halo Custodian,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Halo Custodian, subtle magical effects, 3-second loop",
sun-herald,Sun Herald,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Sun Herald, subtle magical effects, 3-second loop",
vow-gryphon,Vow Gryphon,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Vow Gryphon, subtle magical effects, 3-second loop",
beacon-seraph,Beacon Seraph,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Beacon Seraph, subtle magical effects, 3-second loop",
aegis-paladin,Aegis Paladin,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Aegis Paladin, subtle magical effects, 3-second loop",
beacon-paladin,Beacon Paladin,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Beacon Paladin, subtle magical effects, 3-second loop",
crown-keeper,Crown Keeper,CREATURE,COMMON,FALSE,RADIANT,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Crown Keeper, subtle magical effects, 3-second loop",
quantum-savant,Quantum Savant,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Quantum Savant, subtle magical effects, 3-second loop",
paradox-seer,Paradox Seer,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Paradox Seer, subtle magical effects, 3-second loop",
ouro-mantis,Ouro Mantis,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Ouro Mantis, subtle magical effects, 3-second loop",
echo-myrmidon,Echo Myrmidon,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Echo Myrmidon, subtle magical effects, 3-second loop",
chrono-seer,Chrono Seer,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Chrono Seer, subtle magical effects, 3-second loop",
quantum-chimera,Quantum Chimera,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Quantum Chimera, subtle magical effects, 3-second loop",
echo-mantis,Echo Mantis,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Echo Mantis, subtle magical effects, 3-second loop",
paradox-mantis,Paradox Mantis,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Paradox Mantis, subtle magical effects, 3-second loop",
quantum-runner,Quantum Runner,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Quantum Runner, subtle magical effects, 3-second loop",
echo-sphinx,Echo Sphinx,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Echo Sphinx, subtle magical effects, 3-second loop",
ouro-savant,Ouro Savant,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Ouro Savant, subtle magical effects, 3-second loop",
paradox-runner,Paradox Runner,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Paradox Runner, subtle magical effects, 3-second loop",
echo-runner,Echo Runner,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Echo Runner, subtle magical effects, 3-second loop",
paradox-warden,Paradox Warden,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Paradox Warden, subtle magical effects, 3-second loop",
paradox-chimera,Paradox Chimera,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Paradox Chimera, subtle magical effects, 3-second loop",
ouro-runner,Ouro Runner,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Ouro Runner, subtle magical effects, 3-second loop",
loop-runner,Loop Runner,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Loop Runner, subtle magical effects, 3-second loop",
loop-sphinx,Loop Sphinx,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Loop Sphinx, subtle magical effects, 3-second loop",
chrono-chimera,Chrono Chimera,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Chrono Chimera, subtle magical effects, 3-second loop",
paradox-savant,Paradox Savant,CREATURE,COMMON,FALSE,AETHER,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Paradox Savant, subtle magical effects, 3-second loop",
gale-ray,Gale Ray,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Gale Ray, subtle magical effects, 3-second loop",
sky-manta,Sky Manta,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Sky Manta, subtle magical effects, 3-second loop",
sky-strider,Sky Strider,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Sky Strider, subtle magical effects, 3-second loop",
echo-leviathan,Echo Leviathan,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Echo Leviathan, subtle magical effects, 3-second loop",
star-warden,Star Warden,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Star Warden, subtle magical effects, 3-second loop",
frost-sentinel,Frost Sentinel,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Frost Sentinel, subtle magical effects, 3-second loop",
wave-seeker,Wave Seeker,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Wave Seeker, subtle magical effects, 3-second loop",
echo-warden,Echo Warden,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Echo Warden, subtle magical effects, 3-second loop",
sky-voyager,Sky Voyager,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Sky Voyager, subtle magical effects, 3-second loop",
tide-sage,Tide Sage,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Tide Sage, subtle magical effects, 3-second loop",
tide-sentinel,Tide Sentinel,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Tide Sentinel, subtle magical effects, 3-second loop",
gale-manta,Gale Manta,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Gale Manta, subtle magical effects, 3-second loop",
wave-ray,Wave Ray,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Wave Ray, subtle magical effects, 3-second loop",
gale-seraph,Gale Seraph,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Gale Seraph, subtle magical effects, 3-second loop",
mist-warden,Mist Warden,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Mist Warden, subtle magical effects, 3-second loop",
frost-manta,Frost Manta,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Frost Manta, subtle magical effects, 3-second loop",
mist-manta,Mist Manta,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Mist Manta, subtle magical effects, 3-second loop",
aether-strider,Aether Strider,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Aether Strider, subtle magical effects, 3-second loop",
echo-manta,Echo Manta,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Echo Manta, subtle magical effects, 3-second loop",
star-seeker,Star Seeker,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Star Seeker, subtle magical effects, 3-second loop",
crystal-seraph,Crystal Seraph,CREATURE,COMMON,FALSE,AZURE,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Crystal Seraph, subtle magical effects, 3-second loop",
sear-warden,Sear Warden,CREATURE,COMMON,FALSE,CRIMSON,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Sear Warden, subtle magical effects, 3-second loop",
ash-goliath,Ash Goliath,CREATURE,COMMON,FALSE,CRIMSON,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Ash Goliath, subtle magical effects, 3-second loop",
sear-maw,Sear Maw,CREATURE,COMMON,FALSE,CRIMSON,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Sear Maw, subtle magical effects, 3-second loop",
blaze-ravager,Blaze Ravager,CREATURE,COMMON,FALSE,CRIMSON,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Blaze Ravager, subtle magical effects, 3-second loop",
flame-hound,Flame Hound,CREATURE,COMMON,FALSE,CRIMSON,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Flame Hound, subtle magical effects, 3-second loop",
flame-warden,Flame Warden,CREATURE,COMMON,FALSE,CRIMSON,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Flame Warden, subtle magical effects, 3-second loop",
hell-maw,Hell Maw,CREATURE,COMMON,FALSE,CRIMSON,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Hell Maw, subtle magical effects, 3-second loop",
ash-myrmidon,Ash Myrmidon,CREATURE,COMMON,FALSE,CRIMSON,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Ash Myrmidon, subtle magical effects, 3-second loop",
char-hound,Char Hound,CREATURE,COMMON,FALSE,CRIMSON,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Char Hound, subtle magical effects, 3-second loop",
pyre-warden,Pyre Warden,CREATURE,COMMON,FALSE,CRIMSON,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Pyre Warden, subtle magical effects, 3-second loop",
inferno-goliath,Inferno Goliath,CREATURE,COMMON,FALSE,CRIMSON,6,2,4,0,10,3,2,,,,,,,,common_creature_frame,"Animated version of Inferno Goliath, subtle magical effects, 3-second loop",
