slug,name,category,rarity,legendary,mana_color_code,mana_cost,energy_cost,attack,defense,health,base_energy_per_turn,equipment_slots,keywords
nimbus-relay,Nimbus Relay,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
crystal-array,Crystal Array,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
glass-relay,Glass Relay,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
polar-tower,Polar Tower,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
sky-array,Sky Array,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
crystal-atrium,Crystal Atrium,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
frost-causeway,Frost Causeway,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
crystal-gate,Crystal Gate,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
echo-relay,Echo Relay,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
glass-sanctum,Glass Sanctum,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
star-atrium,Star Atrium,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
glass-causeway,Glass Causeway,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
echo-sanctum,Echo Sanctum,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
glass-observatory,Glass Observatory,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
polar-harbor,Polar Harbor,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
sky-tower,Sky Tower,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
echo-gate,Echo Gate,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
star-sanctum,Star Sanctum,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
sky-observatory,Sky Observatory,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
frost-library,Frost Library,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
glass-tower,Glass Tower,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
nimbus-library,Nimbus Library,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
echo-array,Echo Array,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
star-tower,Star Tower,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
frost-array,Frost Array,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
polar-array,Polar Array,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
aether-causeway,Aether Causeway,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
star-causeway,Star Causeway,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
echo-causeway,Echo Causeway,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
echo-tower,Echo Tower,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
sky-atrium,Sky Atrium,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
sky-causeway,Sky Causeway,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
crystal-causeway,Crystal Causeway,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
wave-atrium,Wave Atrium,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
wave-tower,Wave Tower,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
aether-harbor,Aether Harbor,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
crystal-harbor,Crystal Harbor,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
glass-library,Glass Library,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
star-relay,Star Relay,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
frost-observatory,Frost Observatory,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
polar-gate,Polar Gate,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
frost-tower,Frost Tower,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
sky-gate,Sky Gate,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
star-array,Star Array,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
crystal-observatory,Crystal Observatory,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
aether-observatory,Aether Observatory,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
wave-sanctum,Wave Sanctum,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
nimbus-observatory,Nimbus Observatory,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
crystal-relay,Crystal Relay,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
aether-sanctum,Aether Sanctum,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
glass-atrium,Glass Atrium,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
polar-library,Polar Library,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
wave-library,Wave Library,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
crystal-sanctum,Crystal Sanctum,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
aether-atrium,Aether Atrium,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
echo-atrium,Echo Atrium,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
polar-causeway,Polar Causeway,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
wave-relay,Wave Relay,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
wave-observatory,Wave Observatory,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
star-gate,Star Gate,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
aether-gate,Aether Gate,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
polar-atrium,Polar Atrium,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
sky-sanctum,Sky Sanctum,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
glass-array,Glass Array,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
tide-surge-shatter,Tide Surge Shatter,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
echo-wave-dive,Echo Wave Dive,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
star-lance-pierce,Star Lance Pierce,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
polar-break-crush,Polar Break Crush,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
tide-surge-crush,Tide Surge Crush,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
crystal-glide-cascade,Crystal Glide Cascade,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
tide-surge-cascade,Tide Surge Cascade,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
star-lance-shatter,Star Lance Shatter,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
frost-pulse-pierce,Frost Pulse Pierce,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
mist-step-shatter,Mist Step Shatter,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
polar-break-flow,Polar Break Flow,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
echo-wave-skim,Echo Wave Skim,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
tide-surge-spiral,Tide Surge Spiral,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
crystal-glide-spiral,Crystal Glide Spiral,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
frost-pulse-ripple,Frost Pulse Ripple,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
mist-step-skim,Mist Step Skim,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
tide-surge-sweep,Tide Surge Sweep,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
crystal-glide-crush,Crystal Glide Crush,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
frost-pulse-sweep,Frost Pulse Sweep,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
mist-step-dive,Mist Step Dive,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
nimbus-arc-skim,Nimbus Arc Skim,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
echo-wave-spiral,Echo Wave Spiral,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
crystal-glide-shatter,Crystal Glide Shatter,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
echo-wave-pierce,Echo Wave Pierce,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
nimbus-arc-sweep,Nimbus Arc Sweep,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
polar-break-ripple,Polar Break Ripple,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
frost-pulse-shatter,Frost Pulse Shatter,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
tide-surge-pierce,Tide Surge Pierce,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
nimbus-arc-dive,Nimbus Arc Dive,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
sky-vault-skim,Sky Vault Skim,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
mist-step-sweep,Mist Step Sweep,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
nimbus-arc-spiral,Nimbus Arc Spiral,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
echo-wave-flow,Echo Wave Flow,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
polar-break-cascade,Polar Break Cascade,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
frost-pulse-dive,Frost Pulse Dive,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
sky-vault-sweep,Sky Vault Sweep,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
sky-vault-cascade,Sky Vault Cascade,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
aether-spin-spiral,Aether Spin Spiral,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
polar-break-dive,Polar Break Dive,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
frost-pulse-cascade,Frost Pulse Cascade,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
polar-break-pierce,Polar Break Pierce,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
aether-spin-cascade,Aether Spin Cascade,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
mist-step-flow,Mist Step Flow,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
nimbus-arc-ripple,Nimbus Arc Ripple,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
crystal-glide-pierce,Crystal Glide Pierce,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
aether-spin-dive,Aether Spin Dive,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
mist-step-crush,Mist Step Crush,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
crystal-glide-skim,Crystal Glide Skim,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
star-lance-spiral,Star Lance Spiral,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
echo-wave-crush,Echo Wave Crush,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
frost-pulse-flow,Frost Pulse Flow,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
tide-surge-dive,Tide Surge Dive,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
tide-surge-skim,Tide Surge Skim,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
star-lance-dive,Star Lance Dive,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
aether-spin-shatter,Aether Spin Shatter,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
polar-break-skim,Polar Break Skim,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
tide-surge-ripple,Tide Surge Ripple,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
tide-surge-flow,Tide Surge Flow,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
polar-break-spiral,Polar Break Spiral,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
nimbus-arc-flow,Nimbus Arc Flow,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
star-lance-cascade,Star Lance Cascade,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
mist-step-spiral,Mist Step Spiral,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
aether-spin-crush,Aether Spin Crush,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
aether-spin-skim,Aether Spin Skim,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
frost-pulse-crush,Frost Pulse Crush,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
sky-vault-crush,Sky Vault Crush,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
